"GDP, current prices (Billions of U.S. dollars)",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Maldives,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.284,3.69
Mali,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.285,3.373,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.903,4.713,5.452,6.256,6.906,8.157,9.797,10.207,10.699,12.99,12.45,13.25,14.411
Malta,1.078,1.021,1.034,1.342,1.675,1.901,1.992,2.391,2.601,2.895,2.58,2.856,3.367,3.433,3.476,3.68,3.836,4.059,4.067,4.475,5.423,6.049,6.402,6.786,7.944,9.02,8.55,8.757,9.514,9.209,10.15,11.235
Mauritania,0.788,0.7269,0.6832,0.8029,0.9098,0.9574,1.02,1.213,1.39,1.464,1.25,1.316,1.415,1.443,1.402,1.371,1.406,1.294,1.296,1.324,1.563,1.831,2.184,3.041,3.331,3.947,3.67,4.33,5.176,5.234,5.724,5.391
Mauritius,1.132,1.047,1.061,1.432,1.813,2.103,2.161,2.596,2.851,3.211,3.309,3.673,4.195,4.337,4.073,4.114,4.344,4.663,4.614,4.841,5.817,6.579,6.489,6.732,7.792,9.641,8.835,9.718,11.263,11.446,11.932,12.613
Mexico,167.25,197.237,209.299,144.912,158.915,194.412,236.922,279.595,335.183,388.709,479.52,507.928,346.584,395.16,476.77,502.457,575.475,679.625,729.555,752.425,713.283,770.27,866.346,966.867,1043.472,1101.274,894.95,1051.128,1171.185,1186.602,1261.983,1298.466
Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,5.813,7.018,7.283,7.985,7.983
Mongolia,3.59,3.316,3.851,4.25,4.776,4.797,4.997,3.131,3.297,1.831,0.902,1.082,1.697,1.573,1.38,1.314,1.236,1.329,1.485,1.634,1.864,2.317,2.93,4.084,5.37,8.084,5.976,7.185,10.41,12.293,12.582,12.196
Morocco,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081
Mozambique,3.838,3.998,5.285,6.203,2.803,2.463,2.574,4.13,3.217,2.177,2.265,2.458,2.524,3.468,4.11,4.718,5.167,4.667,4.567,4.977,5.549,6.749,7.595,8.304,9.466,11.555,11.243,10.457,13.131,15.178,16.013,16.872
Namibia,NA,NA,NA,NA,NA,NA,2.605,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.724,12.796
Nepal,2.56,2.708,2.812,3.06,3.175,3.743,3.784,3.894,4.261,3.872,4.158,4.344,4.716,4.861,5.284,5.253,5.404,5.731,5.891,5.976,6.328,7.274,8.18,9.044,10.325,12.545,12.855,16.002,19.011,18.852,19.27,19.995
Netherlands,149.824,139.468,141.524,197.217,241.531,258.309,254.538,314.016,323.511,358.001,348.101,373.918,446.932,445.845,412.717,433.086,442.555,414.018,426.94,467.016,572.958,651.416,679.695,727.287,840.583,940.665,860.108,837.949,894.576,829.406,866.951,881.033
New Zealand,22.453,22.347,22.516,27.399,36.93,45.439,44.062,45.774,43.579,41.596,44.799,52.873,62.212,69.065,68.887,56.781,58.847,54.138,53.105,62.047,82.47,101.582,113.204,109.764,134.948,135.524,121.733,145.308,167.126,175.06,186.809,199.011
Nicaragua,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88
Niger,1.803,1.461,1.44,1.904,2.233,2.28,2.18,2.48,2.328,2.345,2.221,1.563,1.756,1.88,1.733,1.981,1.916,1.671,1.815,2.073,2.645,2.901,3.375,3.65,4.29,5.429,5.411,5.729,6.415,6.946,7.67,8.243
Nigeria,35.45,28.5,28.87,20.72,24.09,23.27,24.23,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.965,568.496
North Korea,12.86,12.25,12.07,13.65,14.39,14.19,15.77,14.7,13.69,12.46,10.74,8.31,4.85,10.59,10.32,10.27,10.28,10.61,11.02,10.91,11.05,11.17,13.031,13.76,14.4,13.3,12,13.945,15.7,15.9,16.57,17.396
Norway,61.631,62.081,65.436,78.714,94.24,101.91,102.648,119.796,121.903,130.892,120.267,127.094,152.047,163.52,161.374,154.18,162.316,171.333,174.017,195.423,227.62,264.199,308.679,345.393,400.886,461.946,386.382,428.527,498.157,509.705,522.746,498.34
Oman,8.491,9.358,10.395,8.229,8.628,8.386,9.372,11.686,11.342,12.452,12.494,12.919,13.803,15.277,15.838,13.997,15.594,19.508,19.452,20.143,21.634,24.764,31.082,37.216,42.086,60.906,48.389,58.642,67.937,76.689,78.939,81.034
Pakistan,37.369,40.573,40.566,41.543,43.437,50.108,52.256,52.429,59.556,63.727,67.443,67.998,79.452,82.969,81.808,81.487,82.521,79.705,77.933,77.937,89.689,105.607,118.475,137.236,152.369,170.853,167.875,177.166,213.588,224.384,231.218,244.361
Panama,5.185,5.412,5.726,5.95,5.976,5.167,5.181,5.632,6.193,7.04,7.688,8.198,8.38,9.881,10.677,11.575,12.13,12.304,12.502,12.994,13.694,15.013,16.374,18.145,20.958,24.522,26.594,28.917,34.374,39.955,44.856,49.166
Papua New Guinea,3.865,3.57,3.306,3.597,3.953,5.494,5.329,4.84,5.693,6.578,7.477,8.217,7.273,7.74,7.398,5.655,5.16,5.258,4.61,4.58,5.584,6.276,7.312,8.306,9.545,11.671,11.619,14.251,17.985,21.295,21.261,22.606
Paraguay,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.025,8.393,8.196,7.663,6.325,6.588,8.034,8.735,10.646,13.795,18.503,15.934,20.048,25.1,24.595,28.966,30.881
Peru,18.859,19.439,16.82,25.236,41.673,32.971,40.692,28.32,33.988,35.376,34.329,43.792,52.139,54.09,56.911,54.6,49.378,51.005,51.613,54.451,59.045,66.71,74.97,87.887,102.221,121.59,121.017,148.014,168.772,189.021,197.903,203.103
Philippines,36.891,34.857,33.995,33.174,36.871,42.082,47.291,49.095,50.32,58.695,60.237,71.003,82.121,91.792,91.234,72.207,82.995,81.023,76.262,81.358,83.908,91.371,103.074,122.211,149.36,173.603,168.485,199.591,224.143,250.092,271.836,284.585
Poland,75.406,75.507,70.775,73.677,63.714,68.612,66.895,62.084,80.451,88.713,90.366,103.683,139.089,156.684,157.183,172.05,167.799,171.276,190.43,198.679,217.514,253.709,304.43,343.272,429.172,530.17,436.817,479.161,528.567,500.836,524.382,545.053
Portugal,28.27,25.954,27.233,37.873,47.391,55.44,59.812,79.447,89.913,108.13,95.149,99.702,118.223,122.659,117.248,124.168,127.633,118.706,121.65,134.704,165.28,189.444,197.642,208.75,240.502,263.249,244.364,238.748,245.119,216.488,226.144,229.995
Puerto Rico,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446
Qatar,6.468,6.704,6.272,4.95,5.216,5.004,5.288,7.36,6.884,7.646,7.157,7.374,8.138,9.059,11.298,10.255,12.393,17.76,17.538,19.364,23.534,31.734,44.53,60.882,79.712,115.27,97.798,125.122,167.775,186.834,198.728,206.225
Romania,48.711,39.361,48.595,52.625,58.852,60.925,54.583,38.762,29.256,19.906,26.795,30.571,36.067,35.921,35.872,42.815,36.183,37.466,40.717,46.174,59.868,76.217,99.699,123.534,171.679,209.664,168.036,167.986,186.113,171.662,191.56,199.543
Russia,NA,NA,NA,NA,NA,NA,NA,992.177,862.069,91.941,197.428,297.487,336.82,420.966,435.112,291.23,210.492,279.033,329.407,371.213,462.332,634.999,820.568,1063.64,1396.475,1784.514,1313.681,1638.463,2051.657,2210.255,2297.125,2063.663
Rwanda,1.629,1.56,1.853,2.1,2.331,2.495,2.605,2.491,1.837,1.95,1.881,1.195,1.239,1.343,1.808,1.931,1.797,1.718,1.676,1.668,1.835,2.091,2.584,3.151,3.826,4.863,5.38,5.774,6.492,7.316,7.623,8.01
Saint Kitts and Nevis,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.42,0.461,0.483,0.465,0.503,0.543,0.636,0.674,0.739,0.723,0.705,0.753,0.734,0.788,0.848
Saint Lucia,0.173,0.22,0.249,0.296,0.327,0.373,0.422,0.494,0.524,0.576,0.584,0.612,0.653,0.675,0.688,0.749,0.787,0.803,0.779,0.788,0.87,0.936,0.997,1.134,1.277,1.282,1.263,1.382,1.438,1.437,1.49,1.552
Saint Vincent and the Grenadines,0.122,0.135,0.146,0.161,0.176,0.201,0.215,0.24,0.255,0.278,0.286,0.289,0.316,0.331,0.348,0.374,0.391,0.396,0.43,0.462,0.482,0.522,0.551,0.611,0.652,0.695,0.675,0.681,0.676,0.693,0.721,0.727
Samoa,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.279,0.255,0.264,0.266,0.282,0.333,0.408,0.474,0.503,0.554,0.667,0.586,0.639,0.739,0.801,0.805,0.804
Saudi Arabia,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.791,134.995,143.152,158.451,165.742,146.775,161.717,189.515,184.137,189.606,215.808,258.742,328.206,376.398,415.687,519.797,429.098,526.811,671.239,735.975,746.647,756.35
Senegal,2.774,2.706,2.962,4.19,5.041,4.985,4.913,5.717,5.617,6.005,5.679,3.877,4.879,5.066,4.672,5.058,5.151,4.693,4.882,5.352,6.872,8.042,8.722,9.367,11.301,13.439,12.805,12.948,14.388,14.235,14.874,15.332
Seychelles,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.343
Sierra Leone,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.649,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007
Singapore,17.998,19.552,18.557,18.763,21.611,26.515,31.393,38.9,45.472,52.13,60.642,73.776,87.888,96.403,100.168,85.715,86.287,95.837,89.288,91.942,97.003,114.184,127.42,147.795,179.981,192.231,192.406,236.42,275.605,289.168,302.511,308.155
Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,16.564,16.783,21.304,21.493,20.978,22.147,22.746,20.446,20.9,23.603,29.738,34.504,36.401,39.621,48.167,55.853,50.372,48.103,51.338,46.378,48.131,49.984
Solomon Islands,0.176,0.176,0.16,0.143,0.15,0.171,0.167,0.208,0.22,0.261,0.291,0.369,0.429,0.473,0.495,0.423,0.448,0.381,0.38,0.324,0.314,0.363,0.429,0.471,0.516,0.608,0.598,0.681,0.933,1.064,1.13,1.174
South Africa,87.417,77.315,59.102,67.562,88.572,95.207,99.044,115.533,123.964,134.557,134.345,139.804,155.461,147.701,152.611,137.686,136.55,136.453,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.802,351.116
Spain,172.429,171.955,181.172,250.683,317.602,373.143,411.571,533.945,575.184,628.611,528.008,529.824,612.413,638.5,587.967,616.957,634.384,597.149,626.514,707.642,908.588,1071.007,1159.257,1265.661,1481.393,1642.738,1502.876,1434.257,1489.381,1336.685,1362.202,1378.042
Sri Lanka,6.093,7.142,7.064,7.571,7.884,8.24,8.271,9.468,10.367,11.176,11.948,13.781,14.635,16.051,17.888,18.43,18.532,19.371,18.61,19.585,21.621,23.655,27.945,32.359,37.043,46.602,48.113,56.71,65.267,68.419,74.464,79.338
Sudan,7.06,8.701,6.039,8.056,13.025,10.398,18.347,2.444,2.752,3.375,5.712,6.49,7.288,9.12,11.742,11.308,10.676,12.257,13.182,14.803,17.645,21.457,26.524,35.82,45.897,54.526,53.145,65.622,67.22,62.647,65.507,71.081
Suriname,1.325,1.296,1.309,1.336,1.469,1.741,2.034,0.539,0.594,0.551,0.434,0.488,0.927,1.153,1.235,1.483,1.222,1.266,1.09,1.376,1.615,1.868,2.235,2.626,2.936,3.533,3.876,4.368,4.422,4.98,5.146,5.241
Swaziland,1.184,0.998,0.714,0.77,1.028,1.038,1.045,1.23,1.292,1.442,1.479,1.608,1.951,1.858,1.986,1.833,1.81,1.797,1.602,1.476,2.266,2.859,3.245,3.351,3.526,3.356,3.648,4.498,4.878,4.755,4.42,4.301
Sweden,102.366,106.633,111.569,147.316,179.09,202.623,213.079,255.95,268.677,279.568,209.982,226.113,264.089,288.134,264.51,266.829,270.735,259.839,239.957,263.94,331.109,381.743,389.043,420.017,487.818,513.966,429.656,488.378,563.11,543.881,578.742,573.818
Switzerland,111.286,106.284,107.831,154.504,193.428,209.399,202.257,258.056,261.261,271.687,264.208,292.721,342.801,330.277,286.581,294.852,289.715,272.284,278.72,301.573,353.243,393.72,408.786,431.12,480.21,555.138,542.955,583.231,699.684,667.793,688.707,709.259
Syria,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,66.8565,73.67,53.927,34.184
São Tomé and Príncipe,0.076,0.079,0.083,0.117,0.118,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.034,0.046,0.054,0.056,0.058,0.072,0.081,0.098,0.108,0.13,0.14,0.148,0.188,0.188,0.197,0.233,0.253,0.303,0.348
Taiwan Province of China,54.162,61.088,63.641,78.234,105.04,126.461,152.727,166.845,187.351,223.123,235.166,256.438,279.27,292.681,303.706,280.407,304.174,331.407,300.223,308.883,318.364,348.407,375.787,388.547,408.221,417.038,392.106,446.141,485.671,495.919,511.599,530.515
Tanzania,10.425,9.485,8.558,10.82,5.331,5.124,4.343,3.43,4.031,3.7,3.412,3.627,4.251,5.311,6.415,9.454,11.624,12.423,12.743,13.216,14.178,15.547,16.93,18.61,21.502,27.368,28.574,31.086,33.583,39.088,44.414,48.256
Thailand,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.89,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.297,134.301,152.281,172.895,189.318,221.759,262.943,291.383,281.71,341.105,370.818,397.56,420.529,406.521
Togo,0.703,0.62,0.676,1.061,1.249,1.514,1.486,1.789,1.768,1.854,1.413,1.095,1.446,1.581,1.61,1.524,1.529,1.299,1.334,1.481,1.677,1.94,2.117,2.221,2.527,3.174,3.171,3.179,3.759,3.918,4.322,4.612
Tonga,0.08,0.084,0.079,0.094,0.101,0.119,0.144,0.15,0.174,0.18,0.188,0.203,0.213,0.234,0.22,0.198,0.201,0.195,0.177,0.191,0.212,0.248,0.283,0.294,0.321,0.342,0.338,0.39,0.456,0.459,0.446,0.447
Trinidad and Tobago,7.764,7.757,7.376,4.794,4.798,4.497,4.323,5.068,5.308,5.44,4.669,4.947,5.329,5.76,5.738,6.044,6.808,8.154,8.825,9.008,11.305,13.28,15.982,18.369,21.642,27.87,19.175,22.158,25.433,25.694,26.436,26.176
Tunisia,9.202,9.055,9.246,9.911,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.473,22.066,23.142,27.454,31.184,32.272,34.377,38.91,44.84,43.624,44.054,45.81,45.044,46.253,47.605
Turkey,84.906,82.583,92.76,102.304,118.885,125.153,147.688,207.375,208.109,219.091,248.447,179.208,233.34,250.263,261.775,276.012,256.485,273.085,200.305,238.342,311.944,404.853,501.163,550.796,675.01,764.643,644.47,772.29,832.497,873.696,950.328,934.075
Turkmenistan,NA,NA,NA,NA,2.331,3.011,3.007,3.19,3.208,0.951,5.363,4.542,5.874,2.379,2.681,2.862,3.857,5.022,6.933,8.7,11.424,14.196,17.174,21.393,25.962,21.516,20.214,22.583,29.233,35.164,39.198,43.524
Uganda,7.413,5.703,5.219,5.199,8.384,8.685,7.041,5.743,3.004,2.809,3.323,4.809,5.76,5.944,6.48,6.343,6.029,5.978,6.039,6.494,6.724,8.285,9.603,10.851,13.497,17.279,18.579,20.212,21.108,24.505,25.808,27.949
Ukraine,NA,NA,NA,NA,64.088,74.704,82.709,81.457,77.465,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,39.309,43.956,52.01,67.226,89.282,111.885,148.734,188.24,121.552,136.011,163.161,175.707,179.572,132.343
United Arab Emirates,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.88,350.908,374.818,390.427,403.198
United Kingdom,528.343,500.503,534.244,651.399,807.381,982.793,999.357,1182.997,1235.086,1273.729,1139.199,1220.824,1320.618,1394.478,1537.558,1623.794,1652.539,1638.702,1613.588,1760.454,2030.626,2390.268,2511.165,2682.213,3064.351,2898.941,2377.16,2431.169,2611.108,2655.458,2721.489,3002.394
United States of America,3638.125,4040.7,4346.75,4590.125,4870.225,5252.625,5657.7,5979.575,6174.05,6539.3,6878.7,7308.775,7664.05,8100.175,8608.525,9089.15,9660.625,10284.75,10621.825,10977.525,11510.675,12274.925,13093.7,13855.9,14477.625,14718.575,14418.725,14964.4,15517.925,16155.25,16691.5,17427.6
Uruguay,5.609,5.334,5.212,6.47,8.095,8.375,8.827,10.27,12.376,14.223,16.568,19.299,21.312,22.657,23.974,25.394,23.995,22.832,20.907,13.632,12.067,13.708,17.398,19.62,23.461,30.366,31.661,40.285,47.962,51.266,57.531,57.236
Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571,5.502,6.521,10.168,13.922,14.705,14.948,17.041,13.717,11.632,9.657,10.129,12.001,14.31,17.027,22.307,28.605,33.461,38.963,45.418,51.185,57.17,63.179
Vanuatu,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.258,0.263,0.314,0.365,0.395,0.439,0.526,0.608,0.61,0.701,0.792,0.782,0.802,0.815
Venezuela,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.667,91.905,97.239,117.676,123.156,95.57,83.67,112.189,143.29,177.531,221.817,289.741,237.294,294.282,334.069,331.457,234.401,212.347
Vietnam,27.726,48.177,14.999,33.873,42.045,23.234,6.293,6.472,7.642,9.867,13.181,16.312,20.798,24.692,26.892,27.234,28.702,31.176,32.524,35.097,39.563,49.52,57.648,66.393,77.52,98.269,101.634,112.771,134.598,155.565,170.565,185.897
Yemen People's Republic,NA,NA,NA,NA,NA,NA,NA,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229
Zambia,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,4.094,4.194,4.902,6.221,8.332,12.757,14.057,17.911,15.328,20.265,23.46,25.504,28.046,27.151
Zimbabwe,7.764,6.352,5.637,6.218,6.741,7.815,8.286,8.78,8.18,6.746,6.552,6.889,7.152,8.758,8.99,10.827,10.514,10.137,9.999,9.563,8.475,8.434,8.075,7.298,6.994,5.974,8.367,10.067,12.072,14.058,15.224,15.834
