"GDP, current prices (Billions of U.S. dollars)",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bulgaria,28.87,30.668,26.258,23.239,26.938,44.022,44.835,19.768,1.937,7.861,4.266,7.5,12.564,9.491,10.024,13.227,13.501,13.153,14.076,16.277,20.984,25.958,29.636,34.131,44.41,54.408,51.885,50.611,57.42,53.901,55.76,56.732
Burkina Faso,1.571,1.404,1.553,2.036,2.37,2.616,2.616,3.101,3.135,3.357,3.2,1.924,2.38,2.587,2.448,2.805,3.013,2.633,2.836,3.218,4.212,4.843,5.474,5.82,6.781,8.409,8.391,9.123,10.734,11.172,11.938,12.329
Burundi,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.575,2.934
Cabo Verde,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.652,0.589,0.616,0.679,0.891,1.023,1.09,1.237,1.514,1.789,1.712,1.664,1.865,1.752,1.851,1.861
Cambodia,NA,NA,NA,0.205,0.141,0.276,0.346,0.899,2.011,2.439,2.427,2.765,3.441,3.507,3.443,3.13,3.513,3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.049,15.249,16.714
Cameroon,8.401,8.879,9.274,12.088,14.002,14.219,12.678,12.692,14.152,12.97,13.532,9.207,8.733,9.732,9.841,9.828,10.015,9.027,9.638,10.888,13.63,15.784,16.617,17.97,20.461,23.432,23.442,23.667,26.612,26.487,29.576,32.101
Canada,340.55,355.373,364.771,377.445,431.334,507.378,565.077,593.962,610.322,592.401,577.2,578.138,604.034,628.569,652.834,631.852,676.005,742.319,736.425,757.981,892.498,1023.17,1169.467,1315.515,1464.978,1549.073,1371.152,1613.463,1788.647,1824.289,1842.627,1792.883
Central African Republic,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.885,0.897,0.963,1.11,1.257,1.337,1.461,1.698,1.985,1.982,1.986,2.196,2.171,1.519,1.706
Chad,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.936,2.257,3.102,5.003,6.681,7.451,8.687,10.438,9.312,10.702,12.181,12.411,12.994,14.003
Chile,20.674,20.104,17.239,18.532,21.857,25.766,29.681,33,37.983,46.272,49.507,57.116,73.602,78.027,84.926,81.588,75.121,77.825,70.969,69.729,75.644,99.237,122.958,154.782,173.471,179.512,172.512,218.268,252.068,267.026,278.34,260.954
